Item.number,Value,item,participant,oneWord,best
4, jemand der alles aus dem weg räumt,1,34,wegräumt,rücksichtsloser und wütender Mensch
4, Jemand%2C der in Rage ist,1,35,wütend,rücksichtsloser und wütender Mensch
4, Hitzkopf,1,2,wütend,rücksichtsloser und wütender Mensch
4, Jemand%2C der unkontrolliert wütet,1,6,wütend,rücksichtsloser und wütender Mensch
4, rabiater mensch,1,11,wütend,rücksichtsloser und wütender Mensch
4, Jemand der zerstörerisch agiert,1,45,zerstörerisch,rücksichtsloser und wütender Mensch
4, Zerstörer,1,18,zerstörerisch,rücksichtsloser und wütender Mensch
4, Zerstörung,1,31,zerstörerisch,rücksichtsloser und wütender Mensch
5, aggressive Person,2,49,agressiv,wütender und gefährlicher Mensch
5, jemand der aus sich herausfährt,2,34,agressiv,wütender und gefährlicher Mensch
5, aufbrausender mensch,2,44,"aufbrausend, wütend",wütender und gefährlicher Mensch
5, bösartige Frau,2,38,bösartig,wütender und gefährlicher Mensch
5, Böse Frau,2,27,böse,wütender und gefährlicher Mensch
5, böse Person,2,36,böse,wütender und gefährlicher Mensch
5, böse und Kinder hassende Frau,2,48,böse,wütender und gefährlicher Mensch
5, böser Mensch,2,3,böse,wütender und gefährlicher Mensch
5, Böser und vereinsamte Person,2,45,böse,wütender und gefährlicher Mensch
5, Eine Böse Person,2,12,böse,wütender und gefährlicher Mensch
5, jemand böses%2C ,2,42,böse,wütender und gefährlicher Mensch
5, sehr böse und schlafende Bibliothekarin,2,39,böse,wütender und gefährlicher Mensch
5,böse Bibliothekarin ,2,1,böse,wütender und gefährlicher Mensch
5, böser%2C launischer Mensch,2,30,"böse,launisch",wütender und gefährlicher Mensch
5,böser%2C cholerischer Mensch ,2,50,cholerisch,wütender und gefährlicher Mensch
5,Frau ,2,22,frau,wütender und gefährlicher Mensch
5, eine gefährliche Person,2,40,gefährlich,wütender und gefährlicher Mensch
5, gefährliche Person,2,8,gefährlich,wütender und gefährlicher Mensch
5, jemand gefährliches,2,29,gefährlich,wütender und gefährlicher Mensch
5, Jemand%2C der aus dem Nichts gefährlich wird,2,35,gefährlich,wütender und gefährlicher Mensch
5,schlafende Gefahr ,2,31,gefährlich,wütender und gefährlicher Mensch
5, gemeine Person,2,18,gemein,wütender und gefährlicher Mensch
5, gefährliches Fabelwesen,2,32,literal,wütender und gefährlicher Mensch
5, gefährliches Tier,2,16,literal,wütender und gefährlicher Mensch
5, Reizbares%2C bösartiges Wesen,2,26,literal,wütender und gefährlicher Mensch
5, bose Bibliothekarin,2,15,na,wütender und gefährlicher Mensch
5, Die böse Bibliothekarin wird als Drache bezeichnet,2,10,na,wütender und gefährlicher Mensch
5, Drachen ist die böse Bibliothekarin.,2,9,na,wütender und gefährlicher Mensch
5, schlafende%2C vermeintlich böse Bibliothekarin,2,19,na,wütender und gefährlicher Mensch
5, Ich weiß es nicht,2,13,na,wütender und gefährlicher Mensch
5, ich weiß es nicht ,2,25,na,wütender und gefährlicher Mensch
5, schlafende Bibliothekarin,2,17,na,wütender und gefährlicher Mensch
5, weis nicht,2,47,na,wütender und gefährlicher Mensch
5,Bibliothekarin ,2,23,na,wütender und gefährlicher Mensch
5,ka ,2,5,na,wütender und gefährlicher Mensch
5, leicht reizbar,2,11,reizbar,wütender und gefährlicher Mensch
5, leicht reizbare%2C hoch impulsive Person,2,37,reizbar,wütender und gefährlicher Mensch
5, reizbar,2,4,reizvar,wütender und gefährlicher Mensch
5, Ein Mensch%2C der nicht gut gelaunt ist,2,46,schlecht gelaunt,wütender und gefährlicher Mensch
5, Unangenehmer Zeitgenosse,2,2,unangenehm,wütender und gefährlicher Mensch
5,  unfreundliche frau,2,20,unfreundlich,wütender und gefährlicher Mensch
5, Die Person (Michael) vergleicht die Bibliothekarin mit einem Drachen%2C da sie sehr unfreundlich ist.,2,33,unfreundlich,wütender und gefährlicher Mensch
5, ekliger Mensch%2C unfreundlicher Mensch,2,41,unfreundlich,wütender und gefährlicher Mensch
5, grandig%2C unfreundlich,2,43,unfreundlich,wütender und gefährlicher Mensch
5, Unfreundliche und unangenehme Person,2,28,unfreundlich,wütender und gefährlicher Mensch
5, Wesen%2C ohne Geduld,2,7,ungeduldig,wütender und gefährlicher Mensch
5, Die unsympathische Bibliothekarin,2,6,unsympatisch,wütender und gefährlicher Mensch
5, ein schnell wütend werdender Mensch,2,21,wütend,wütender und gefährlicher Mensch
5, Jemand der schnell wütend wird,2,24,wütend,wütender und gefährlicher Mensch
5, Person die schnell wutausbrüche hat%2C,2,14,wütend,wütender und gefährlicher Mensch
6, Gefühlslos,3,2, Gefühlslos,emotionsloser Mensch
6, gefühlslos,3,17, Gefühlslos,emotionsloser Mensch
6, gefühlslos,3,20, Gefühlslos,emotionsloser Mensch
6, gefühlslos,3,31, Gefühlslos,emotionsloser Mensch
6, gefühlslos,3,42, Gefühlslos,emotionsloser Mensch
6, gefühlslos,3,44, Gefühlslos,emotionsloser Mensch
6, gefühlslos%2C kalt,3,39, Gefühlslos,emotionsloser Mensch
6, jemand der gefühlslos ist,3,34, Gefühlslos,emotionsloser Mensch
6, jemand der nicht viele gefühle ausstrahlt,3,29, Gefühlslos,emotionsloser Mensch
6, Jemand Gefühlsloses,3,6, Gefühlslos,emotionsloser Mensch
6, Jemand Gefühlslosse,3,6, Gefühlslos,emotionsloser Mensch
6, Jemand%2C der keine Gefühle empfindet,3,46, Gefühlslos,emotionsloser Mensch
6, keine Gefühle,3,18, Gefühlslos,emotionsloser Mensch
6, Mensch%2C der keine Gefühle zeigen kann,3,28, Gefühlslos,emotionsloser Mensch
6,emotionslos%2C abgestumpft%2C automatisch handelnd  ,3,37,abgestumpft,emotionsloser Mensch
6, Ein Mensch der keine Gefühle zeigt,3,27,emotionslos,emotionsloser Mensch
6, eine gefühllose Person,3,40,emotionslos,emotionsloser Mensch
6, Emotionslos,3,35,emotionslos,emotionsloser Mensch
6, Emotionslos%2C zwischenmenschliche Kälte,3,7,emotionslos,emotionsloser Mensch
6, emotionsloser Mensch,3,16,emotionslos,emotionsloser Mensch
6, emotionsloser Mensch,3,50,emotionslos,emotionsloser Mensch
6, kalte Person%2C emotionsloser Mensch,3,41,emotionslos,emotionsloser Mensch
6, kalte%2C emotionslose Oma,3,36,emotionslos,emotionsloser Mensch
6, kalter%2C unemotionaler Mensch,3,30,emotionslos,emotionsloser Mensch
6, kaltes%2C nicht Gefühle empfindendes Objekt,3,21,emotionslos,emotionsloser Mensch
6, Ohne emotioneen,3,14,emotionslos,emotionsloser Mensch
6, ohne Gefühle,3,43,emotionslos,emotionsloser Mensch
6,Einen Menschen ohne Gefühl,3,24,emotionslos,emotionsloser Mensch
6,Emotionsloses%2C mechanisch agierendes Wesen,3,26,emotionslos,emotionsloser Mensch
6,gefühllose%2C kalte Oma ,3,1,emotionslos,emotionsloser Mensch
6,gefühllosen%2C kalten Oma ,3,23,emotionslos,emotionsloser Mensch
6,keine emotionalen reaktionen ,3,25,emotionslos,emotionsloser Mensch
6, Die Person (Thomas) vergleicht seine Oma mit einem Roboter%2C da die Oma gefühlskalt ist.,3,33,gefühlskalt,emotionsloser Mensch
6, Gefühlskalte Person,3,12,gefühlskalt,emotionsloser Mensch
6, gefühlskalter Mensch,3,3,gefühlskalt,emotionsloser Mensch
6, gefühlslos%2C kalt,3,48,gefühlskalt,emotionsloser Mensch
6, gefühlsleerer mensch,3,11,gefühlsleer,emotionsloser Mensch
6, gefühlloser Mensch,3,8,gefühlstkalt,emotionsloser Mensch
6, emotionslose Maschine,3,32,literal,emotionsloser Mensch
6, gefühlsloses Wesen,3,38,literal,emotionsloser Mensch
6, Maschine ohne Herz,3,4,literal,emotionsloser Mensch
6, gefühllose Person,3,49,na,emotionsloser Mensch
6, gefühllose%2C kalte Oma,3,15,na,emotionsloser Mensch
6, gefühllose%2C kalte Oma,3,19,na,emotionsloser Mensch
6, Ich weiß es nicht,3,13,na,emotionsloser Mensch
6, Oma,3,22,na,emotionsloser Mensch
6, Roboter sind kalt und gefühllos%2C weil sie Maschinen sind,3,10,na,emotionsloser Mensch
6, Roboter steht für das kalte Verhalten der Oma.,3,9,na,emotionsloser Mensch
6, t,3,5,na,emotionsloser Mensch
6, weis nicht,3,47,na,emotionsloser Mensch
6,Jemand eingefahrens ,3,45,na,emotionsloser Mensch
7,Fest eingefahrene Strukturen,4,7,eingefahren,Menschen die langsam und träge sind
7, Faule Menschen,4,45,faul,Menschen die langsam und träge sind
7, kein Bock Einstellung,4,43,faul,Menschen die langsam und träge sind
7, langsame leute,4,44,langsam,Menschen die langsam und träge sind
7, langsame Menschen,4,16,langsam,Menschen die langsam und träge sind
7, langsame spieler,4,20,langsam,Menschen die langsam und träge sind
7, langsame und behäbige Leute,4,6,langsam,Menschen die langsam und träge sind
7, langsame und schlechte Spieler,4,40,langsam,Menschen die langsam und träge sind
7, Langsames Team,4,36,langsam,Menschen die langsam und träge sind
7, langsame%2C nicht agile und schnelle menschen%2C faul,4,11,"langsam, faul",Menschen die langsam und träge sind
7, Langsame%2C körperlich schwache Menschen,4,28,"langsam, schwach",Menschen die langsam und träge sind
7, Langsame und träge Menschen,4,2,"langsam, träge",Menschen die langsam und träge sind
7, viele langsame%2C träge Menschen,4,21,langsma,Menschen die langsam und träge sind
7,Eine Personengruppe die alt ist ,4,24,litearl,Menschen die langsam und träge sind
7, Gruppe%2C die spielt wie alte Menschen,4,3,literal,Menschen die langsam und träge sind
7, Wohneinheiten für Senioren,4,32,literal,Menschen die langsam und träge sind
7, ein müder Haufen,4,34,müder haufen,Menschen die langsam und träge sind
7, Altersheim ist die träge Fußballmannschaft.,4,9,na,Menschen die langsam und träge sind
7, Altersheim ist die u,4,9,na,Menschen die langsam und träge sind
7, Die Person (Karin) vergleicht die Mannschaft mit einem Altersheim%2C da die Fußballspieler langsam sind.,4,33,na,Menschen die langsam und träge sind
7, Fußballer die keine Lust auf Training haben,4,41,na,Menschen die langsam und träge sind
7, Fußballmannschaft,4,22,na,Menschen die langsam und träge sind
7, Fußballspieler unmotiviert sind und deren Leistung schlecht ist,4,23,na,Menschen die langsam und träge sind
7, Ich weiß es nicht,4,4,na,Menschen die langsam und träge sind
7, Ich weiß es nicht,4,13,na,Menschen die langsam und träge sind
7, Ich weiß es nicht,4,49,na,Menschen die langsam und träge sind
7, r,4,5,na,Menschen die langsam und träge sind
7, weis nicht,4,47,na,Menschen die langsam und träge sind
7, Weiß ich nicht,4,10,na,Menschen die langsam und träge sind
7, schlechte Fußballmanschaft,4,1,schlecht ,Menschen die langsam und träge sind
7, schlechte Spieler,4,27,schlecht ,Menschen die langsam und träge sind
7, Schwach und zerbrechlich%2Clangsam,4,14,schwach,Menschen die langsam und träge sind
7, träge,4,18,schwach,Menschen die langsam und träge sind
7, träge Personen,4,12,träge ,Menschen die langsam und träge sind
7, träge Truppe,4,8,träge ,Menschen die langsam und träge sind
7, träge und langsame Menschen,4,30,träge ,Menschen die langsam und träge sind
7, träge und lanngsame Spieler,4,48,träge ,Menschen die langsam und träge sind
7,träge ,4,31,träge ,Menschen die langsam und träge sind
7, Menschen sind träge und langsam%2C ähnliuc wie alte Leute,4,50,träge langsam,Menschen die langsam und träge sind
7, eingerostete%2Cträge Personen%2C die Menschen in hohem Alter ähneln,4,37,träge person,Menschen die langsam und träge sind
7, Gruppe von körperlich unfitten Personen,4,26,unfit,Menschen die langsam und träge sind
7, Mannschaft in schlechtem körperlichen Zustand ,4,15,unfit,Menschen die langsam und träge sind
7, Mannschaft ohne Kondition,4,38,unfit,Menschen die langsam und träge sind
7, langsam%2C unmotiviert,4,42,unmotiviert,Menschen die langsam und träge sind
7, unmotivierte Fußballspieler,4,19,unmotiviert,Menschen die langsam und träge sind
7, unmotivierte Leute,4,35,unmotiviert,Menschen die langsam und träge sind
7, unmotivierte Spieler,4,17,unmotiviert,Menschen die langsam und träge sind
7, unmotivierte Spieler,4,39,unmotiviert,Menschen die langsam und träge sind
7, Unmotivierte%2C Unsportliche Menschen,4,46,unmotiviert,Menschen die langsam und träge sind
7,unmotivierte langsame Menschen ,4,25,unmotiviert,Menschen die langsam und träge sind
7, unsportliche alte,4,29,unsportlich,Menschen die langsam und träge sind
8, EIne Person%2C die niemanden etwas antun kann,5,28, EIne Person%2C die niemanden etwas antun kann,"gütige, uneigennützige Person"
8, unschuldig,5,31, unschuldig,"gütige, uneigennützige Person"
8, altruistischer Mensch,5,49,altruistisch,"gütige, uneigennützige Person"
8, Bedingungslos helfende Person,5,7,bedingungslos helfend,"gütige, uneigennützige Person"
8, eine fromme Frau,5,6,fromm,"gütige, uneigennützige Person"
8, fromme Frau,5,1,fromm,"gütige, uneigennützige Person"
8, fromme Frau,5,8,fromm,"gütige, uneigennützige Person"
8, Fromme Frau,5,12,fromm,"gütige, uneigennützige Person"
8, fromme Frau,5,15,fromm,"gütige, uneigennützige Person"
8, frommer Mensch,5,30,fromm,"gütige, uneigennützige Person"
8, gläubiger Mensch,5,16,gläubig,"gütige, uneigennützige Person"
8, jemand stark gläubigen,5,34,gläubig,"gütige, uneigennützige Person"
8, eine gute Person,5,41,gut,"gütige, uneigennützige Person"
8, einen guten Menschen,5,42,gut,"gütige, uneigennützige Person"
8, guter mensch,5,44,gut,"gütige, uneigennützige Person"
8, Guter Mensch der anderen hilft,5,2,gut,"gütige, uneigennützige Person"
8, Person die gutes tut,5,14,gut,"gütige, uneigennützige Person"
8, Jemand%2C der Gutes tut,5,35,guterr mensch,"gütige, uneigennützige Person"
8, gutherziger Mensch,5,3,gutherzig,"gütige, uneigennützige Person"
8, sehr wert zuschätzende%2C gütige Person,5,36,gütig,"gütige, uneigennützige Person"
8, sehr gütiger Mensch,5,11,guütig,"gütige, uneigennützige Person"
8, hilfsbereite Peron%2C die sich aufopferungsvoll kümmert,5,38,hilsbereit,"gütige, uneigennützige Person"
8,liebevolle hilfbereite person ,5,25,liebevoll,"gütige, uneigennützige Person"
8,  nonne,5,20,literal,"gütige, uneigennützige Person"
8, Die Nonne ist der Engel%2C weil sie Gott dient,5,10,literal,"gütige, uneigennützige Person"
8, Die Person (Andreas) vergleicht die Nonne mit einem Engel%2C da die Nonne gutmütig und barmherzig ist.,5,33,literal,"gütige, uneigennützige Person"
8, Ein übernatürliches und gutes Wesen,5,27,literal,"gütige, uneigennützige Person"
8, transzendetes Wesen,5,32,literal,"gütige, uneigennützige Person"
8,Jemand heiliges ,5,45,literal,"gütige, uneigennützige Person"
8,Eine gottesähnliche Figur%2C die nur gutes tut,5,46,litetal,"gütige, uneigennützige Person"
8, Frau%2C die Flüchtlingen hilft,5,48,lna,"gütige, uneigennützige Person"
8, Engel steht für die Nonne,5,9,na,"gütige, uneigennützige Person"
8, Der Flüchtling,5,13,na,"gütige, uneigennützige Person"
8, ka,5,5,na,"gütige, uneigennützige Person"
8, Nonne,5,22,na,"gütige, uneigennützige Person"
8, Nonne,5,39,na,"gütige, uneigennützige Person"
8, Nonne%2C die immer Arbeit und nie ihre Freude verliert,5,19,na,"gütige, uneigennützige Person"
8, Nonne%2C die sich für andere einsetzt,5,17,na,"gütige, uneigennützige Person"
8,weis nicut,5,47,na,"gütige, uneigennützige Person"
8, nette%2C freundliche Person,5,43,nett,"gütige, uneigennützige Person"
8, netter Mensch,5,4,nett,"gütige, uneigennützige Person"
8,Nonne ,5,23,nonne,"gütige, uneigennützige Person"
8, optimistische Frau mit guter Seele,5,50,optimistisch,"gütige, uneigennützige Person"
8, jemand sehr nettes unschuldiges,5,29,sehr nett,"gütige, uneigennützige Person"
8, jemand der sehr sozial ist,5,40,sozial,"gütige, uneigennützige Person"
8, tolle Person,5,18,toll,"gütige, uneigennützige Person"
8, Jemand der uneingenützig alles tut%2C was möglich ist,5,21,uneigennützig,"gütige, uneigennützige Person"
8, Uneigennütziges%2C gutmütiges Wesen,5,26,uneigennützig,"gütige, uneigennützige Person"
8,vorbildliche%2C hilfsbereite uneigennützige Person ,5,37,uneigennützig,"gütige, uneigennützige Person"
8, Eine sehr vertrauensvolle Person,5,24,vetrauensvoll,"gütige, uneigennützige Person"
9, heuchlerisch,6,31, heuchlerisch,"hinterlistige, gierige Person"
9,Ageresseiv ,6,20,agressiv,"hinterlistige, gierige Person"
9, amoralischer Mensch,6,30,amoralisch,"hinterlistige, gierige Person"
9, anmoralischen Makler,6,17,amoralisch,"hinterlistige, gierige Person"
9, der amoralische Makler,6,6,amoralisch,"hinterlistige, gierige Person"
9, betrüger,6,14,betrüger,"hinterlistige, gierige Person"
9, Betrüger,6,48,betrüger,"hinterlistige, gierige Person"
9, Mensch%2C der vor Betrug nicht zurückschreckt,6,38,betrüger,"hinterlistige, gierige Person"
9,Betrüger,6,50,betrüger,"hinterlistige, gierige Person"
9, egoistischer Mensch,6,3,egoistisch,"hinterlistige, gierige Person"
9, falscher typ,6,44,falsch,"hinterlistige, gierige Person"
9,Person%2C welche ein falsches Spiel treibt,6,36,falsch,"hinterlistige, gierige Person"
9, jemand fieses,6,29,fies,"hinterlistige, gierige Person"
9, Geld nehmen%2C mit allen Mitteln,6,43,gierig,"hinterlistige, gierige Person"
9, gierige%2C gerissene Person ,6,49,gierig,"hinterlistige, gierige Person"
9, jemand der nur auf Geld aus ist,6,34,gierig,"hinterlistige, gierige Person"
9, ein unmoralischer und gieriger Mensch,6,8,"gierig, amoralisch","hinterlistige, gierige Person"
9, hinterhältig,6,11,hinterhältig,"hinterlistige, gierige Person"
9, Jemand%2C der hinterhältiges macht,6,35,hinterhältig,"hinterlistige, gierige Person"
9, hinterlistigen Mensch,6,40,hinterlistig,"hinterlistige, gierige Person"
9, Sich auf die Kosten anderer zu nähren,6,7,hinterlistig,"hinterlistige, gierige Person"
9,Kapitalist ,6,15,kapitalist,"hinterlistige, gierige Person"
9, egoistisches Tier,6,16,literal,"hinterlistige, gierige Person"
9, gefährliches Raubtier,6,32,literal,"hinterlistige, gierige Person"
9, kampflustiges Tier,6,4,literal,"hinterlistige, gierige Person"
9, Rücksichtsloses%2C gefährliches Raubtier,6,26,literal,"hinterlistige, gierige Person"
9,Jemand der alles frisst und im Rudel zerstört ,6,45,literal,"hinterlistige, gierige Person"
9, ein Mensch mit viel Macht,6,41,mächtig,"hinterlistige, gierige Person"
9, Der Geldwäscher,6,13,na,"hinterlistige, gierige Person"
9, Der Makler ohne Moral.,6,19,na,"hinterlistige, gierige Person"
9, Der Makler wird als Hyäne verglichen%2C da er keine Moral besitzt.,6,33,na,"hinterlistige, gierige Person"
9, Die Hyäne ist der amoralischer Makler,6,10,na,"hinterlistige, gierige Person"
9, Ich weiß es nicht,6,28,na,"hinterlistige, gierige Person"
9, ich weiß es nicht,6,42,na,"hinterlistige, gierige Person"
9, Ich weiß es nicht,6,46,na,"hinterlistige, gierige Person"
9, Ich weiß es nicht.,6,1,na,"hinterlistige, gierige Person"
9, ich weiß es nicht.,6,9,na,"hinterlistige, gierige Person"
9, Makler,6,18,na,"hinterlistige, gierige Person"
9, Makler,6,22,na,"hinterlistige, gierige Person"
9, r,6,5,na,"hinterlistige, gierige Person"
9, weis nicht,6,47,na,"hinterlistige, gierige Person"
9,amoralischen Makler ,6,23,na,"hinterlistige, gierige Person"
9,ich weiß es nicht  ,6,25,na,"hinterlistige, gierige Person"
9, Jemand den man nicht vertrauen kann,6,24,nicht zu vetrauen,"hinterlistige, gierige Person"
9, Scheinheilig,6,2,scheinheilig,"hinterlistige, gierige Person"
9, jemand%2C der über Leichen geht,6,21,skrupellos,"hinterlistige, gierige Person"
9,hinterlistige%2C rücksichtslose skrupellose Person ,6,37,"skrupellos, hinterlistig","hinterlistige, gierige Person"
9, unmoralisch%2C gierig,6,39,"unmoralisch, gierig","hinterlistige, gierige Person"
9, unmoralische Person,6,12,"unmoralisch, gierig","hinterlistige, gierige Person"
9, Verbrecher und Dieb,6,27,verbrecher,"hinterlistige, gierige Person"
10, sehr alter Mann,7,15,aehr alt,sehr alte und erfahrene Person
10, sehr alte und bekannte Person,7,49,alt und bekannt,sehr alte und erfahrene Person
10,alte Person ,7,45,alt und bekannt,sehr alte und erfahrene Person
10, Mensch der viel erlebt hat UND älter ist,7,41,alt und erafhren,sehr alte und erfahrene Person
10, Jemand%2C der alt und erfahren ist,7,35,alt und erfahren,sehr alte und erfahrene Person
10,ältere weise Person die schon viel erlebt hat ,7,37,alt und erfahren,sehr alte und erfahrene Person
10, alter und gebrechlicher Mann,7,4,alte gebrechliche,sehr alte und erfahrene Person
10, Der Dinosaurier ist der Politiker%2C weil er sehr alt ist,7,10,alte gebrechliche,sehr alte und erfahrene Person
10,  Alt,7,20,alte person,sehr alte und erfahrene Person
10,  sehr alte Person,7,12,alte person,sehr alte und erfahrene Person
10, alte Person,7,18,alte person,sehr alte und erfahrene Person
10, Alter aber geschätzter Mensch,7,2,alte person,sehr alte und erfahrene Person
10, alter Mann,7,38,alte person,sehr alte und erfahrene Person
10, Alter mensch,7,11,alte person,sehr alte und erfahrene Person
10, alter mensch,7,14,alte person,sehr alte und erfahrene Person
10, alter Mensch,7,43,alte person,sehr alte und erfahrene Person
10, alter politiker,7,17,alte person,sehr alte und erfahrene Person
10, altes,7,44,alte person,sehr alte und erfahrene Person
10, Dinosaurier steht für das Alter des Politikers.,7,9,alte person,sehr alte und erfahrene Person
10,alter Mann ,7,1,alter mann,sehr alte und erfahrene Person
10, Ein sehr alter Mensch,7,46,alter mensch,sehr alte und erfahrene Person
10, Eine alte einflussreiche Persönlichkeit,7,28,alter mensch,sehr alte und erfahrene Person
10, eine alte%2C lang dagewesene Person,7,42,alter mensch,sehr alte und erfahrene Person
10, Jemand altes,7,24,alter mensch,sehr alte und erfahrene Person
10, jemand aus einer vergangenen Zeit / Epoche,7,34,alter mensch,sehr alte und erfahrene Person
10, älterer Mensch mit viel Erfahrung,7,30,erfahrene person,sehr alte und erfahrene Person
10,hohe berufliche position ,7,25,erfahrene person,sehr alte und erfahrene Person
10, jemand der lange im Amt ist,7,40,lange im amt,sehr alte und erfahrene Person
10, alter Mensch,7,3,late,sehr alte und erfahrene Person
10, Sehr alter Zeitzeuge einer vergangenen Zeit,7,26,literal,sehr alte und erfahrene Person
10,Exemplar%2C dass nur noch selten aufzufinden ist,7,7,literal,sehr alte und erfahrene Person
10,Tier aus der Vorzeit ,7,32,literal,sehr alte und erfahrene Person
10, sehr altes Lebewesen,7,16,ltiearl,sehr alte und erfahrene Person
10, Der alte Politiker,7,13,na,sehr alte und erfahrene Person
10, Die Person (Susanne) vergleicht den Politiker mit einem Dinosaurier%2C da der Politiker sehr alt ist.,7,33,na,sehr alte und erfahrene Person
10, letzer Überlebender,7,48,na,sehr alte und erfahrene Person
10, Politiker aus der vorletzten Republik,7,19,na,sehr alte und erfahrene Person
10, weis nicht,7,47,na,sehr alte und erfahrene Person
10, x,7,5,na,sehr alte und erfahrene Person
10,alt%2Causgestorben ,7,31,na,sehr alte und erfahrene Person
10, sehr alt und nicht mehr aktuell,7,39,nicht mehr aktuell,sehr alte und erfahrene Person
10,lebenden Politiker ,7,23,politiker,sehr alte und erfahrene Person
10,Politiker ,7,22,politiker,sehr alte und erfahrene Person
10, Jemand sehr Altes,7,6,sehr alt,sehr alte und erfahrene Person
10, jemand sehr altes,7,29,sehr alt,sehr alte und erfahrene Person
10, schon lange existierende Person,7,21,sehr alt,sehr alte und erfahrene Person
10, sehr alten Mann,7,36,sehr alt,sehr alte und erfahrene Person
10, sehr alter Mensch,7,8,sehr alt,sehr alte und erfahrene Person
10, sehr alter Mensch,7,50,sehr alt,sehr alte und erfahrene Person
10, vom aussterben bedrohte Rasse,7,27,vom aussertben bdroht,sehr alte und erfahrene Person
11, Ende,8,4, Ende,negative emotionale veränderung in einer Beziehung
11, Ende,8,20, Ende,negative emotionale veränderung in einer Beziehung
11, Ende einer Sache,8,45, Ende,negative emotionale veränderung in einer Beziehung
11, Enttäuschung,8,2, Enttäuschung,negative emotionale veränderung in einer Beziehung
